,Locations,Total Cases
0,Agoura Hills,5
1,Alhambra,8
2,Altadena,6
3,Arcadia,6
4,Arleta,2
5,Athens,3
6,Azuza,1
7,Baldwin Hills,4
8,Bell,2
9,Bell Gardens,3
10,Bellflower,8
11,Beverly Hills,15
12,Beverlywood,10
13,Boyle Heights,7
14,Brentwood,42
15,Burbank,6
16,Calabasas,5
17,Canoga Park,3
18,Canyon County,1
19,Carson,21
20,Castaic,2
21,Century City,9
22,Century Palms/Cove,3
23,Cerritos,2
24,Chatworth,1
25,Claremont,1
26,Cloverdale/Cochran,3
27,Compton,5
28,Covina,4
29,Crenshaw District,2
30,Crestview,9
31,Culver City,8
32,Del Rey,9
33,Diamond Bar,2
34,Downey,10
35,Downtown,7
36,Duarte,2
37,Eagle Rock,3
38,East Hollywood,2
39,East Los Angeles,4
40,Echo Park,7
41,El Segundo,2
42,Encino,21
43,Exposition Park,2
44,Florence,7
45,Gardena,4
46,Glassell Park,2
47,Glendale,23
48,Glendora,2
49,Granada Hills,8
50,Hacienda Heights,2
51,Hancock Park,10
52,Harbor City,1
53,Harbor Gateway,3
54,Harvard Heights,2
55,Hawthorne,9
56,Highland Park,3
57,Hollywood,27
58,Hollywood Hills,17
59,Hyde Park,1
60,Inglewood,12
61,Koreatown,7
62,La Canada Flintridge,6
63,La Mirada,5
64,La Puente,1
65,La Verne,2
66,Lake Balboa,3
67,Lakewood,7
68,Lancaster,16
69,Lawndale,2
70,Leimert Park,2
71,Lincoln Heights,1
72,Little Bangladesh,1
73,Lomita,12
74,Los Feliz,5
75,Lynwood,6
76,Manhattan Beach,21
77,Mar Vista,8
78,Maywood,1
79,Melrose,47
80,Miracle Mile,13
81,Monrovia,2
82,Montebello,1
83,Monterey Park,4
84,Mt. Washington,3
85,North Hills,1
86,North Hollywood,15
87,Northridge,4
88,Norwalk,9
89,Pacific Palisades,12
90,Pacoima,1
91,Palmdale,2
92,Palms,10
93,Paramount City,4
94,Paramount,4
95,Park LaBrea,8
96,Pico,5
97,Pico Rivera,2
98,Playa Vista,8
99,Pomona,3
100,Porter Ranch,2
101,Rancho Palos Verdes,6
102,Redondo Beach,20
103,Reseda,8
104,San Dimas,1
105,San Fernado,3
106,San Gabriel,3
107,San Pedro,5
108,Santa Clarita,16
109,Santa Monica,21
110,Santa Monica Mountains,4
111,Sherman Oaks,17
112,Silverlake,11
113,South El Monte,4
114,South Gate,4
115,South Park,2
116,South Pasadena,4
117,South Whittier,4
118,Stevenson Ranch,3
119,Studio City,11
120,Sun Valley,2
121,Sunland,1
122,Sylmar,2
123,Tarzana,14
124,Temple,6
125,Torrance,14
126,Tujunga,2
127,University Park,6
128,Valinda,1
129,Valley Glen,12
130,Van Nuys,4
131,Venice,11
132,Vermont Knolls,3
133,Vermont Vista,5
134,Vermont Central,1
135,Walnut,1
136,Watts,1
137,West Adams,6
138,West Covina,4
139,West Hills,4
140,West Hollywood,35
141,West Los Angeles,5
142,West Vernon,6
143,West Whittier/Los Nietos,1
144,Westchester,7
145,Westlake,1
146,Westwood,11
147,Whittier,3
148,Wholesale District,6
149,Willowbrook,1
150,Wilmington,5
151,Wilshire Center,2
152,Winnetka,5
153,Woodland Hills,13
154,Under Investigation,141
